Degerlendirme Puani,Ikametgah Bolgesi,Ikametgah Sehri Kademe Puani,Uni Grup,Universite Turu,Burs Yuzdesi Grubu,Universite Kacinci Sinif,Universite Not Ortalamasi,Lise Mezuniyet Notu Grup,Anne Egitim Durumu Grup,Anne Calisma Durumu,Anne Sektor Grup,Baba Egitim Durumu Grup,Baba Sektor Grup,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Kulup Ismi Grup,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Aktif olarak bir STK üyesi misiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,Spor Dalindaki Rolunuz Nedir?,STK Üye Grup,Aktif Katilim
52.0,2,1,0.0,1,4,2,2,0,3,0,0,2,0,1.0,1,1,1,0,1,0,0,1.0,1,5,3
30.0,2,1,0.0,1,4,2,2,0,3,1,2,3,0,1.0,0,5,0,0,1,1,0,1.0,0,5,2
18.0,2,1,0.0,1,4,0,0,0,1,0,0,0,1,6.0,1,1,0,0,0,0,0,1.0,0,5,1
40.0,2,1,0.0,1,4,2,2,0,1,0,0,2,0,10.0,1,2,0,0,1,0,0,1.0,0,5,2
37.0,2,1,0.0,1,4,2,2,0,0,0,0,3,2,3.0,1,4,0,0,0,0,0,1.0,0,5,1
18.0,2,1,0.0,1,4,0,0,0,3,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
24.0,2,1,0.0,1,4,0,0,0,2,0,0,0,0,1.0,0,5,0,0,1,0,0,1.0,0,5,1
40.0,2,1,0.0,1,4,0,0,0,1,0,0,1,1,4.0,0,5,0,1,1,1,0,1.0,0,4,3
31.0,2,1,0.0,1,4,2,2,0,3,1,2,3,2,1.0,0,5,1,0,0,0,0,1.0,1,5,1
28.0,2,2,0.0,1,4,0,0,0,2,0,0,1,0,2.0,1,1,0,0,1,0,0,1.0,0,5,2
26.0,2,1,0.0,1,4,2,2,0,2,0,0,2,0,2.0,1,4,0,0,0,0,0,1.0,0,5,1
58.0,2,1,0.0,1,4,2,2,0,3,1,2,2,2,1.0,1,1,1,0,1,0,0,1.0,2,5,3
28.0,2,1,0.0,1,4,0,0,0,2,0,0,2,0,4.0,0,1,0,0,1,1,0,1.0,0,5,2
34.0,2,1,0.0,1,4,0,0,0,0,0,0,0,0,10.0,1,1,0,0,1,0,0,1.0,0,5,2
33.0,2,1,0.0,1,4,2,2,0,3,2,0,3,2,1.0,1,2,0,0,0,0,0,1.0,0,5,1
48.0,0,5,0.0,1,4,2,2,0,1,0,0,1,0,3.0,1,2,0,0,1,1,0,1.0,0,5,3
33.0,2,1,0.0,1,4,0,0,0,3,1,2,2,2,1.0,1,2,1,0,0,0,0,1.0,1,5,2
10.0,0,1,0.0,1,4,0,0,0,1,0,0,2,2,1.0,0,5,0,0,0,0,0,1.0,0,5,0
24.0,1,3,0.0,1,4,0,0,0,1,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,5,1
8.0,0,6,0.0,1,4,2,2,0,2,0,0,1,0,5.0,0,5,0,0,0,0,0,1.0,0,5,0
54.0,0,4,0.0,1,4,0,0,0,2,0,0,1,2,2.0,1,1,1,0,1,0,0,1.0,2,5,3
24.0,2,1,0.0,1,4,2,2,0,1,0,0,1,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
44.0,2,1,0.0,1,4,0,0,0,3,2,0,2,1,1.0,1,3,0,0,0,0,0,1.0,0,5,1
60.0,2,1,0.0,1,4,2,2,0,2,1,1,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
42.0,2,1,0.0,1,4,2,2,0,4,1,2,3,2,0.0,1,1,0,0,1,1,0,1.0,0,5,3
26.0,2,1,0.0,1,4,0,0,0,3,1,2,2,2,1.0,0,5,0,1,0,0,0,1.0,0,4,1
22.0,2,1,0.0,1,4,0,0,0,2,2,0,1,0,1.0,0,5,0,0,0,0,0,1.0,1,5,0
14.0,2,1,0.0,1,4,0,0,0,2,0,0,1,0,2.0,0,5,0,0,0,0,0,1.0,0,5,0
28.0,1,5,0.0,1,4,0,0,0,1,0,0,2,2,1.0,1,1,0,0,1,0,0,1.0,0,5,2
16.0,2,1,0.0,1,4,2,2,0,1,0,0,1,0,3.0,0,5,0,0,0,0,0,1.0,0,5,0
29.0,2,1,0.0,1,4,2,2,0,2,0,0,1,0,4.0,1,2,0,0,0,0,0,1.0,0,5,1
8.0,2,1,0.0,1,4,0,0,0,2,0,0,1,0,0.0,0,5,0,0,0,1,0,1.0,0,5,1
28.0,2,1,0.0,1,4,0,0,0,1,0,0,1,0,2.0,0,5,1,0,0,1,0,1.0,1,5,2
46.0,2,1,0.0,1,4,2,2,0,3,2,0,2,1,0.0,1,3,1,0,0,0,0,1.0,2,5,2
28.0,2,1,0.0,1,4,2,2,0,1,1,1,0,0,1.0,0,1,0,0,0,0,0,1.0,0,5,0
22.0,1,5,0.0,1,4,2,2,0,3,1,2,2,2,1.0,0,5,0,0,0,0,0,1.0,0,5,0
26.0,2,1,0.0,1,4,0,0,0,2,1,1,1,0,2.0,0,5,0,0,0,0,0,1.0,0,5,0
41.0,0,1,0.0,1,4,2,2,0,1,1,1,0,2,1.0,1,1,0,0,1,0,0,1.0,0,5,2
50.0,2,1,0.0,1,4,2,2,0,2,2,0,1,1,0.0,0,5,0,1,1,0,0,1.0,0,4,2
44.0,2,1,0.0,1,4,0,0,0,2,2,0,2,0,1.0,0,5,1,0,1,1,0,1.0,1,5,3
53.0,2,1,0.0,1,4,0,0,0,2,1,1,2,1,0.0,1,1,1,0,0,0,0,1.0,1,5,2
34.0,2,1,0.0,1,4,2,2,0,2,0,0,2,1,1.0,0,5,0,0,1,0,0,1.0,0,5,1
42.0,2,1,0.0,1,4,0,0,0,2,0,0,2,2,2.0,1,1,0,0,1,0,0,1.0,0,5,2
36.0,2,1,0.0,1,4,0,0,0,0,0,0,0,0,7.0,0,5,0,0,1,0,0,1.0,0,5,1
24.0,2,1,0.0,1,4,0,0,0,1,0,0,0,1,3.0,0,5,0,0,1,0,0,1.0,0,5,1
40.0,1,1,0.0,1,4,2,2,0,2,0,0,1,1,1.0,1,1,0,0,0,1,0,1.0,0,5,2
44.0,2,1,0.0,1,4,2,2,0,4,1,1,3,1,0.0,0,5,0,0,1,1,0,1.0,0,5,2
18.0,2,1,0.0,1,4,2,2,0,2,0,0,2,1,1.0,0,5,0,0,0,0,0,1.0,0,5,0
44.0,1,1,0.0,1,4,2,2,0,3,2,0,2,1,1.0,1,1,0,0,1,1,0,1.0,0,5,3
44.0,2,1,0.0,1,4,2,2,0,1,0,0,0,2,1.0,1,2,0,0,0,1,0,1.0,0,5,2
28.0,2,1,0.0,1,4,0,0,0,2,1,1,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
52.0,2,1,0.0,1,4,2,2,0,3,1,2,2,2,1.0,1,1,0,0,1,0,0,1.0,0,5,2
34.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
32.0,2,1,0.0,1,4,0,0,0,1,1,1,0,1,1.0,0,5,0,0,0,0,0,1.0,0,5,0
32.0,2,1,0.0,1,4,2,2,0,3,1,2,3,2,1.0,0,5,0,0,0,0,0,1.0,0,5,0
52.0,2,1,0.0,1,4,0,0,0,2,0,0,1,2,3.0,1,2,0,0,1,0,0,1.0,0,5,2
38.0,2,1,0.0,1,4,0,0,0,2,1,1,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
18.0,2,1,0.0,1,4,0,0,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
34.0,2,1,0.0,1,4,2,2,0,1,0,0,0,0,0.0,0,5,0,0,0,0,0,1.0,0,5,0
44.0,2,1,0.0,1,4,0,0,0,1,2,0,0,0,2.0,1,1,1,1,0,1,0,1.0,1,0,4
